# certified, from outputs/rtp1_a1_axisx_ccm_N60.txt, _ccm_N120.txt, _fixedL_N60.txt
protocol,N,x_or_X,n_prime_powers,eps_or_lambda_min,logdet_even,overlap_c,overlap_f,neg
CCM,60,2,1,0.00133096,66.361834,0.64879794,0.96809606,0
CCM,60,3,2,5.62068e-8,40.778166,0.76602399,0.98957404,0
CCM,60,4,3,8.12813e-13,9.0810937,0.8268581,0.99414255,0
CCM,60,5,4,1.12435e-17,-30.506024,0.8651768,0.99605569,0
CCM,60,7,5,8.73912e-28,-136.67708,0.91128506,0.9976608,0
CCM,60,8,6,5.21118e-33,-204.08836,0.92624185,0.99804752,0
CCM,60,9,7,3.77422e-38,-281.04504,0.93798236,0.99832055,0
CCM,60,11,8,1.62686e-48,-461.30744,0.95510076,0.99867607,0
CCM,60,13,9,1.01356e-58,-677.94914,0.96680213,0.99889672,0
CCM,60,16,10,6.99536e-71,-1039.0548,0.97825677,0.9991455,0
CCM,60,17,11,5.61383e-74,-1148.2236,0.98099989,0.99921853,0
CCM,60,19,12,1.83173e-79,-1369.3228,0.98541055,0.99934957,0
CCM,60,23,13,4.28649e-88,-1767.7186,0.99131999,0.99955816,0
CCM,60,25,14,1.07936e-91,-1944.9255,0.99332283,0.99963909,0
CCM,60,27,15,4.61566e-95,-2107.483,0.9948955,0.99970734,0
CCM,60,29,16,1.62590e-97,-2253.8039,0.99611731,0.99976953,0
CCM,60,31,17,4.82160e-100,-2396.6889,0.99709061,0.9998196,0
CCM,60,32,18,3.45553e-101,-2467.1385,0.99749345,0.99984248,0
CCM,60,37,19,2.47465e-106,-2760.4302,0.99892333,0.99992617,0
CCM,60,41,20,7.47927e-110,-2973.5058,0.99955151,0.99996715,0
CCM,60,43,21,1.87098e-111,-3079.4815,0.99974557,0.99998091,0
CCM,60,47,22,2.13673e-114,-3260.986,0.99995852,0.99999677,0
CCM,60,49,23,5.67877e-116,-3349.7555,0.99999597,0.99999955,0
CCM,60,50,23,1.75010e-116,-3389.2557,1,1,0
CCM,120,2,1,0.00132983,161.11753,0.69258801,0.97599732,0
CCM,120,3,2,5.55204e-8,129.28487,0.81147697,0.99402772,0
CCM,120,4,3,7.64663e-13,93.724937,0.87034789,0.9973458,0
CCM,120,5,4,9.75496e-18,51.440874,0.90585435,0.99858082,0
CCM,120,7,5,7.67118e-28,-58.974663,0.9462015,0.9994575,0
CCM,120,8,6,4.46887e-33,-128.47618,0.95843916,0.99963534,0
CCM,120,9,7,2.95406e-38,-207.0432,0.96764117,0.99974805,0
CCM,120,11,8,1.12071e-48,-391.63157,0.98022361,0.99987254,0
CCM,120,13,9,3.48399e-59,-615.01778,0.98802569,0.9999327,0
CCM,120,16,10,3.74299e-75,-1022.9103,0.99474741,0.99997408,0
CCM,120,17,11,2.09544e-80,-1176.9621,0.9961482,0.99998146,0
CCM,120,19,12,5.77489e-91,-1515.0691,0.99811663,0.99999108,0
CCM,120,23,13,7.83592e-111,-2291.9657,0.99983795,0.99999912,0
CCM,120,25,14,5.25912e-119,-2703.9589,1,1,0
fixedL,60,1,0,-1.37311,30.678808,0.70387882,,3
fixedL,60,2,1,-1.69273,28.12899,0.71457135,,4
fixedL,60,3,2,-1.57172,17.662618,0.70503942,,6
fixedL,60,4,3,-1.41869,21.605677,0.69423592,,7
fixedL,60,5,4,-1.14858,21.730467,0.44785981,,10
fixedL,60,7,5,-1.10364,10.696073,0.13539223,,12
fixedL,60,8,6,-1.11626,1.8902982,0.068697157,,11
fixedL,60,9,7,-1.12173,0.38365406,0.0187518,,14
fixedL,60,11,8,-1.05919,-22.476532,0.002059912,,14
fixedL,60,13,9,-1.07417,-121.51584,1.1924332e-05,,16
fixedL,60,16,10,-1.01220,-127.79588,5.9792615e-06,,16
fixedL,60,17,11,-0.956921,-238.60725,8.9150986e-08,,16
fixedL,60,19,12,-0.922967,-553.66329,7.2469277e-11,,16
fixedL,60,23,13,-0.786425,-759.25597,6.8778331e-13,,16
fixedL,60,25,14,-0.722942,-967.17626,3.4199752e-15,,15
fixedL,60,27,15,-0.661781,-1135.8779,1.1763635e-16,,15
fixedL,60,29,16,-0.628038,-1343.8373,4.3694927e-19,,14
fixedL,60,31,17,-0.460153,-1494.247,1.536722e-21,,14
fixedL,60,32,18,-0.455082,-1985.6408,1.3937616e-26,,12
fixedL,60,37,19,-0.432007,-2423.5643,3.4339644e-32,,10
fixedL,60,41,20,-0.302952,-2642.4986,2.4824683e-35,,9
fixedL,60,43,21,-0.0698996,-3079.6564,1.2145719e-43,,6
fixedL,60,47,22,-5.66175e-7,-3298.4319,2.689079e-48,,3
fixedL,60,49,23,1.75010e-116,-3389.2557,1,,0
